롯데마트 영종도점,1,3,DC차데모 + AC3상,충전가능,"인천광역시 중구 흰바위로 51, 지상주차장 4층 455구역",37.492675,126.491194,10:00~22:00,환경부,1661-9408,2.02E+13,급속(50kW)
차이나타운 주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,인천광역시 중구 신포로27번길 80,37.473714,126.621682,정보없음,환경부,1661-9408,2.02E+13,급속(50kW)
송림체육관,1,6,DC차데모 + AC3상 + DC콤보,충전가능,인천광역시 동구 염전로 30,37.485283,126.646906,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 인하점,1,3,DC차데모 + AC3상,충전가능,"인천광역시 남구 소성로 6, 주차장 옥상",37.44396711,127.1410875,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
이마트 연수점,1,3,DC차데모 + AC3상,충전가능,"인천광역시 연수구 경원대로 184, 주차장 옥상",37.44690295,126.6505648,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 구월점,1,3,DC차데모 + AC3상,충전가능,"인천광역시 남동구 예술로 198, 지하주차장 4층 I4구역",37.4047181,126.6819251,09:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
계양구 공영주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"인천광역시 계양구 봉오대로 679-1, 작전역 2번 출구 100m 앞 ",37.530611,126.724568,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
인천서구청 제1주차장,1,3,DC차데모 + AC3상,충전가능,"인천광역시 서구 탁옥로51번길 26, 서구청후문 주차타워 지상 1층",37.546063,126.675578,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
홈플러스 가좌점,1,3,DC차데모 + AC3상,충전가능,"인천광역시 서구 가정로151번길 11, 지하주차장 1층 M0구역",37.497573,126.670692,10:00~24:00,환경부,1661-9408,2.02E+13,급속(50kW)
소태역 환승주차장,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"광주광역시 동구 남문로 575, 환승주차장 1층",35.122112,126.932263,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
광주시청,1,6,DC차데모 + AC3상 + DC콤보,충전가능,"광주광역시 서구 내방로 111, 광주광역시청  ",35.160317,126.849815,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
광주시청,2,6,DC차데모 + AC3상 + DC콤보,충전가능,"광주광역시 서구 내방로 111, 광주광역시청  ",35.160317,126.849815,24시간 이용가능,환경부,1661-9408,2.02E+13,급속(50kW)
